
parco,338957451762954_444278277580712,commento,2022-07-29T14:15:15+0000,neutrale
mare,338957451762954_1283259829095597,commento,2022-07-29T13:43:37+0000,positivo
parco,338957451762954_1283259829095597,commento,2022-07-29T13:43:37+0000,positivo
qualità dell'aria,405353439582567_338797591778940,post,2022-07-29T07:00:35+0000,neutrale
qualità dell'aria,405353439582567_338148691843830,post,2022-07-28T06:59:12+0000,neutrale
qualità dell'aria,405353439582567_337539511904748,post,2022-07-27T07:00:49+0000,neutrale
qualità dell'aria,405353439582567_336871448638221,post,2022-07-26T07:00:05+0000,neutrale
candiano,336871448638221_2023001251219814,commento,2022-07-26T08:18:06+0000,positivo
bicicletta,405353439582567_336293365362696,post,2022-07-25T09:11:02+0000,neutrale
bici,405353439582567_336293365362696,post,2022-07-25T09:11:02+0000,neutrale
bici,336293365362696_591137002523940,commento,2022-07-25T16:47:12+0000,neutrale
bicicletta,336293365362696_1088842275356079,commento,2022-07-25T12:31:32+0000,negativo
ciclabile,336293365362696_413996304097150,commento,2022-07-25T18:49:25+0000,positivo
bici,336293365362696_533306241809830,commento,2022-07-25T15:34:37+0000,neutrale
bicicletta,336293365362696_780939676276529,commento,2022-07-25T13:25:48+0000,negativo
qualità dell'aria,405353439582567_336242645367768,post,2022-07-25T07:00:09+0000,neutrale
acqua,405353439582567_335613708763995,post,2022-07-24T08:18:01+0000,neutrale
parco,335613708763995_3293382907649185,commento,2022-07-24T10:08:36+0000,positivo
qualità dell'aria,405353439582567_334140912244608,post,2022-07-22T07:00:02+0000,neutrale
candiano,405353439582567_334140912244608,post,2022-07-22T07:00:02+0000,neutrale
qualità dell'aria,405353439582567_333502462308453,post,2022-07-21T07:00:06+0000,neutrale
candiano,405353439582567_333502462308453,post,2022-07-21T07:00:06+0000,neutrale
verde,405353439582567_332264255765607,post,2022-07-20T08:45:37+0000,neutrale
mare,405353439582567_332264255765607,post,2022-07-20T08:45:37+0000,neutrale
passerella,405353439582567_332868205705212,post,2022-07-20T08:00:03+0000,neutrale
ciclopedonale,405353439582567_332868205705212,post,2022-07-20T08:00:03+0000,neutrale
qualità dell'aria,405353439582567_332844339040932,post,2022-07-20T07:00:03+0000,neutrale
candiano,405353439582567_332844339040932,post,2022-07-20T07:00:03+0000,neutrale
trasporto,405353439582567_332204389104927,post,2022-07-19T07:00:07+0000,neutrale
qualità dell'aria,405353439582567_332204389104927,post,2022-07-19T07:00:07+0000,neutrale
candiano,405353439582567_332204389104927,post,2022-07-19T07:00:07+0000,neutrale
trasporto,332204389104927_566475425010736,commento,2022-07-19T14:28:56+0000,neutrale
acqua,331899095802123_826482371602822,commento,2022-07-19T06:23:10+0000,neutrale
acqua,331899095802123_509136774345735,commento,2022-07-19T06:33:29+0000,neutrale
acqua,331899095802123_439243458086138,sottocommento,2022-07-19T04:18:49+0000,neutrale
acqua,331899095802123_600734791390505,sottocommento,2022-07-19T06:24:21+0000,neutrale
acqua,331899095802123_589298772789043,sottocommento,2022-07-19T09:16:53+0000,neutrale
mare,331577032500996_775481827197016,commento,2022-07-18T08:28:34+0000,neutrale
mare,331577032500996_1480211675768179,sottocommento,2022-07-18T13:39:22+0000,neutrale
ippodromo,331577032500996_990565701621647,sottocommento,2022-07-21T14:45:42+0000,negativo
acqua,331577032500996_362636879181634,commento,2022-07-18T13:14:19+0000,negativo
mare,331577032500996_362636879181634,commento,2022-07-18T13:14:19+0000,negativo
acqua,331577032500996_456745082615745,commento,2022-07-18T13:23:08+0000,neutrale
mare,331577032500996_3910722842385044,commento,2022-07-20T20:43:35+0000,positivo
acqua,331577032500996_753586512460163,commento,2022-07-18T10:24:12+0000,neutrale
acqua,331577032500996_2573334416131235,sottocommento,2022-07-18T10:23:40+0000,neutrale
mare,331577032500996_5025459014248014,sottocommento,2022-07-18T13:17:31+0000,negativo
qualità dell'aria,405353439582567_331561599169206,post,2022-07-18T07:00:02+0000,positivo
candiano,405353439582567_331561599169206,post,2022-07-18T07:00:02+0000,positivo
parco,405353439582567_329736252685074,post,2022-07-15T12:00:02+0000,neutrale
qualità dell'aria,405353439582567_329589609366405,post,2022-07-15T07:00:02+0000,neutrale
mare,405353439582567_328959626096070,post,2022-07-14T08:30:05+0000,neutrale
qualità dell'aria,405353439582567_328922236099809,post,2022-07-14T07:00:02+0000,neutrale
